negatives
"frozenset({'O15027', 'Hedgehog', 'Q9BWF3'})"
"frozenset({'Q9NP80', 'Hedgehog', 'Q96EQ0'})"
"frozenset({'P46109', 'Hedgehog', 'P12314'})"
"frozenset({'P40937', 'P04629', 'Hedgehog'})"
"frozenset({'Q16665', 'Hedgehog', 'P80108'})"
"frozenset({'O14980', 'Q9UKD2', 'Hedgehog'})"
"frozenset({'Q9BTT4', 'Q13148', 'Hedgehog'})"
"frozenset({'Q00536', 'Q8N7R7', 'Hedgehog'})"
"frozenset({'Q71SY5', 'Hedgehog', 'Q99814'})"
"frozenset({'P25787', 'Hedgehog', 'O00487'})"
"frozenset({'Q9NUL5', 'Q5VU43', 'Hedgehog'})"
"frozenset({'P11473', 'Q9HBA0', 'Hedgehog'})"
"frozenset({'Q7Z3K3', 'P83916', 'Hedgehog'})"
"frozenset({'Q8IX12', 'P26368', 'Hedgehog'})"
"frozenset({'Q9BRK4', 'Q9NP86', 'Hedgehog'})"
"frozenset({'P0C853', 'Hedgehog', 'P29972'})"
"frozenset({'Hedgehog', 'P51617', 'P50991'})"
"frozenset({'O43815', 'Hedgehog', 'P40227'})"
"frozenset({'Q9UEW8', 'Hedgehog', 'P11464'})"
"frozenset({'Q8IUQ4', 'Hedgehog', 'Q9NVW2'})"
"frozenset({'Hedgehog', 'P04792', 'Q7Z6Z7'})"
"frozenset({'O75787', 'Hedgehog', 'P30101'})"
"frozenset({'Q71U36', 'Hedgehog', 'P62140'})"
"frozenset({'Q5VT66', 'Q9Y3D7', 'Hedgehog'})"
"frozenset({'Q96D03', 'P49247', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q14203', 'P43034'})"
"frozenset({'P27105', 'Hedgehog', 'O94905'})"
"frozenset({'Hedgehog', 'Q99816', 'O75674'})"
"frozenset({'Hedgehog', 'Q8WUI4', 'Q9BTM1'})"
"frozenset({'Q9UHD2', 'Hedgehog', 'O15111'})"
"frozenset({'P42330', 'O43255', 'Hedgehog'})"
"frozenset({'P31749', 'P40818', 'Hedgehog'})"
"frozenset({'Q9Y2J4', 'O14777', 'Hedgehog'})"
"frozenset({'P78314', 'Hedgehog', 'O43561'})"
"frozenset({'P35658', 'Hedgehog', 'O15504'})"
"frozenset({'Q8IYE0', 'P37198', 'Hedgehog'})"
"frozenset({'P68133', 'Hedgehog', 'P50991'})"
"frozenset({'P33992', 'Q99878', 'Hedgehog'})"
"frozenset({'Q13838', 'P25786', 'Hedgehog'})"
"frozenset({'P46100', 'Hedgehog', 'P61956'})"
"frozenset({'Q15365', 'O95166', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q6UWE0', 'Q9NPR9'})"
"frozenset({'P48729', 'O60346', 'Hedgehog'})"
"frozenset({'P04629', 'Q9UL03', 'Hedgehog'})"
"frozenset({'Q13501', 'P27986', 'Hedgehog'})"
"frozenset({'P12004', 'P35251', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P56945', 'Q9H270'})"
"frozenset({'P46379', 'Q8NI51', 'Hedgehog'})"
"frozenset({'Q8N1B4', 'Q9H8Y8', 'Hedgehog'})"
"frozenset({'O76064', 'Q9Y3C0', 'Hedgehog'})"
"frozenset({'Q9UID3', 'Hedgehog', 'Q86X19'})"
"frozenset({'P13645', 'Q504Q3', 'Hedgehog'})"
"frozenset({'P18754', 'Hedgehog', 'Q99832'})"
"frozenset({'P59768', 'P35498', 'Hedgehog'})"
"frozenset({'Q7Z7A1', 'Hedgehog', 'Q92900'})"
"frozenset({'O96008', 'Hedgehog', 'Q9Y6E7'})"
"frozenset({'A1L170', 'Q9UKX3', 'Hedgehog'})"
"frozenset({'Q6P5R6', 'Hedgehog', 'Q86WU2'})"
"frozenset({'O60934', 'P11245', 'Hedgehog'})"
"frozenset({'P26371', 'Q9BWG6', 'Hedgehog'})"
"frozenset({'Q8IXM3', 'Q9HD33', 'Hedgehog'})"
"frozenset({'Q9UQ90', 'P78545', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q14451', 'Q8NFF5'})"
"frozenset({'Q13618', 'Q00610', 'Hedgehog'})"
"frozenset({'Q01094', 'Hedgehog', 'P08047'})"
"frozenset({'Hedgehog', 'Q07699', 'P22694'})"
"frozenset({'Hedgehog', 'P09001', 'Q9BYD2'})"
"frozenset({'Q9P2H3', 'Q86VQ0', 'Hedgehog'})"
"frozenset({'O00716', 'Hedgehog', 'Q06609'})"
"frozenset({'O14757', 'Hedgehog', 'Q99459'})"
"frozenset({'Q5BKU9', 'O15182', 'Hedgehog'})"
"frozenset({'P62826', 'Q14999', 'Hedgehog'})"
"frozenset({'P62277', 'Hedgehog', 'Q99459'})"
"frozenset({'Q4G0X4', 'O60437', 'Hedgehog'})"
"frozenset({'Q8N108', 'Q13535', 'Hedgehog'})"
"frozenset({'P62979', 'Q96AP0', 'Hedgehog'})"
"frozenset({'O14744', 'Q8NEA6', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P46783', 'Q9NX58'})"
"frozenset({'Q08830', 'Q13888', 'Hedgehog'})"
"frozenset({'A6NKD2', 'Hedgehog', 'Q9C005'})"
"frozenset({'Q96D46', 'Q9NZL4', 'Hedgehog'})"
"frozenset({'Q7Z7A1', 'O75665', 'Hedgehog'})"
"frozenset({'Hedgehog', 'O43683', 'Q16254'})"
