negatives
"frozenset({'O75376', 'IL4', 'P54252'})"
"frozenset({'P23511', 'IL4', 'P06493'})"
"frozenset({'Q969U7', 'Q5JS54', 'IL4'})"
"frozenset({'Q00765', 'IL4', 'Q86VR2'})"
"frozenset({'P06702', 'IL4', 'P13569'})"
"frozenset({'IL4', 'P63096', 'Q9HBX9'})"
"frozenset({'Q12907', 'IL4', 'O75489'})"
"frozenset({'P52294', 'Q9GZX7', 'IL4'})"
"frozenset({'P60520', 'IL4', 'P42704'})"
"frozenset({'IL4', 'P13716', 'O15294'})"
"frozenset({'P27694', 'P55265', 'IL4'})"
"frozenset({'Q16531', 'IL4', 'P61968'})"
"frozenset({'Q32P28', 'IL4', 'Q9Y3C4'})"
"frozenset({'P61978', 'IL4', 'P68104'})"
"frozenset({'IL4', 'Q9NR12', 'Q63ZY3'})"
"frozenset({'Q9NQ94', 'IL4', 'Q15323'})"
"frozenset({'IL4', 'Q6IN84', 'P47813'})"
"frozenset({'Q14574', 'Q9Y446', 'IL4'})"
"frozenset({'O60671', 'Q9UJX2', 'IL4'})"
"frozenset({'P34130', 'IL4', 'P08138'})"
"frozenset({'P30450', 'IL4', 'Q13200'})"
"frozenset({'Q13509', 'P49327', 'IL4'})"
"frozenset({'IL4', 'Q96EP5', 'Q96DU9'})"
"frozenset({'IL4', 'P20073', 'Q99497'})"
"frozenset({'Q9H3H5', 'IL4', 'Q96ES6'})"
"frozenset({'P51159', 'IL4', 'Q9NRD1'})"
"frozenset({'P56704', 'IL4', 'O14904'})"
"frozenset({'P17483', 'IL4', 'O75030'})"
"frozenset({'IL4', 'Q9ULW0', 'P02545'})"
"frozenset({'Q5T5A8', 'Q9BQ66', 'IL4'})"
"frozenset({'Q12950', 'IL4', 'Q9Y6M7'})"
"frozenset({'IL4', 'P01111', 'Q00597'})"
"frozenset({'A8MW92', 'IL4', 'O14746'})"
"frozenset({'P01563', 'IL4', 'P24394'})"
"frozenset({'P46940', 'IL4', 'Q05397'})"
"frozenset({'IL4', 'Q04206', 'Q92831'})"
"frozenset({'P78371', 'P28062', 'IL4'})"
"frozenset({'P60520', 'IL4', 'Q86U42'})"
"frozenset({'Q53GS9', 'IL4', 'Q96T76'})"
"frozenset({'IL4', 'Q96QK1', 'P07602'})"
"frozenset({'P09493', 'Q9BQD3', 'IL4'})"
"frozenset({'IL4', 'Q9Y6X2', 'Q8IUQ4'})"
"frozenset({'P61088', 'IL4', 'P41250'})"
"frozenset({'IL4', 'Q6ZW31', 'O43896'})"
"frozenset({'Q8NG81', 'IL4', 'Q9P2W3'})"
"frozenset({'IL4', 'Q9UGJ1', 'Q9Y2R9'})"
"frozenset({'Q7Z3K3', 'IL4', 'P19801'})"
"frozenset({'O95484', 'O95471', 'IL4'})"
"frozenset({'O75934', 'IL4', 'O75031'})"
"frozenset({'Q9BRQ3', 'Q9H977', 'IL4'})"
"frozenset({'P61077', 'Q96PU4', 'IL4'})"
"frozenset({'Q96C28', 'Q9Y4B6', 'IL4'})"
"frozenset({'O60260', 'P54652', 'IL4'})"
"frozenset({'Q9NWS0', 'Q7KZ85', 'IL4'})"
"frozenset({'IL4', 'Q04206', 'P20226'})"
"frozenset({'IL4', 'Q92794', 'Q71DI3'})"
"frozenset({'P14649', 'P36873', 'IL4'})"
"frozenset({'Q9Y243', 'IL4', 'P53804'})"
"frozenset({'O75663', 'Q17R89', 'IL4'})"
"frozenset({'P04798', 'Q12972', 'IL4'})"
"frozenset({'P04637', 'IL4', 'Q71U36'})"
"frozenset({'IL4', 'Q86Z02', 'O14640'})"
"frozenset({'IL4', 'Q01081', 'Q9Y2X3'})"
"frozenset({'IL4', 'P11362', 'P32004'})"
"frozenset({'Q86UF4', 'IL4', 'P05067'})"
"frozenset({'Q9UMX0', 'Q13148', 'IL4'})"
"frozenset({'P68366', 'Q9NY97', 'IL4'})"
"frozenset({'O60506', 'IL4', 'Q8NC56'})"
"frozenset({'P23588', 'P27348', 'IL4'})"
"frozenset({'Q15691', 'IL4', 'Q6YHK3'})"
"frozenset({'Q96CW1', 'IL4', 'O75843'})"
"frozenset({'P62304', 'IL4', 'Q13618'})"
"frozenset({'IL4', 'Q71F56', 'O75586'})"
"frozenset({'P16220', 'IL4', 'O75398'})"
"frozenset({'Q05048', 'P27361', 'IL4'})"
"frozenset({'IL4', 'P36871', 'P13929'})"
"frozenset({'Q02878', 'IL4', 'P62913'})"
"frozenset({'P57740', 'IL4', 'Q14571'})"
"frozenset({'Q5T5C0', 'IL4', 'O43752'})"
"frozenset({'Q9NWW5', 'IL4', 'Q9Y6I9'})"
"frozenset({'Q00987', 'IL4', 'Q99598'})"
"frozenset({'Q9HAN9', 'IL4', 'O00505'})"
"frozenset({'Q49AN0', 'IL4', 'Q99743'})"
"frozenset({'Q9NYV6', 'IL4', 'P24864'})"
"frozenset({'P05412', 'Q9Y3I0', 'IL4'})"
"frozenset({'Q01831', 'IL4', 'Q02880'})"
"frozenset({'IL4', 'Q13618', 'P04629'})"
"frozenset({'IL4', 'O00716', 'P28331'})"
"frozenset({'Q9BYV6', 'IL4', 'P41223'})"
"frozenset({'Q13617', 'Q562R1', 'IL4'})"
"frozenset({'Q9BUZ4', 'IL4', 'Q9BYV9'})"
"frozenset({'Q6ZW49', 'P49756', 'IL4'})"
"frozenset({'P06213', 'IL4', 'P05019'})"
"frozenset({'O95251', 'IL4', 'O75496'})"
"frozenset({'Q13315', 'IL4', 'Q8IZ21'})"
"frozenset({'P49716', 'IL4', 'Q9BXW9'})"
"frozenset({'IL4', 'P14672', 'Q8WVX9'})"
"frozenset({'P17081', 'IL4', 'P52757'})"
"frozenset({'O75386', 'IL4', 'Q5VU43'})"
"frozenset({'IL4', 'Q08AM6', 'Q9H0W9'})"
"frozenset({'IL4', 'Q14192', 'Q9C004'})"
"frozenset({'Q49A88', 'IL4', 'Q96C92'})"
"frozenset({'IL4', 'Q15323', 'Q96NU1'})"
"frozenset({'P56945', 'O95433', 'IL4'})"
"frozenset({'Q9GZM8', 'IL4', 'Q9HBI0'})"
"frozenset({'Q13642', 'IL4', 'P11831'})"
"frozenset({'P10275', 'Q9Y265', 'IL4'})"
"frozenset({'P48739', 'P31483', 'IL4'})"
"frozenset({'P41182', 'IL4', 'Q8NGG4'})"
"frozenset({'IL4', 'Q14695', 'Q8N357'})"
"frozenset({'Q92769', 'IL4', 'Q9P2K3'})"
"frozenset({'IL4', 'Q9Y6I3', 'P04629'})"
"frozenset({'IL4', 'Q8N1F7', 'P58546'})"
"frozenset({'Q9BYC2', 'IL4', 'Q07021'})"
"frozenset({'P34903', 'IL4', 'Q9H190'})"
"frozenset({'P60484', 'IL4', 'O43791'})"
"frozenset({'Q6NUS6', 'IL4', 'Q9NRD1'})"
"frozenset({'O95817', 'IL4', 'Q15648'})"
"frozenset({'Q9BYV2', 'IL4', 'O14964'})"
"frozenset({'P02533', 'IL4', 'O15357'})"
"frozenset({'IL4', 'Q15334', 'Q13618'})"
"frozenset({'IL4', 'P0C7T8', 'Q92565'})"
"frozenset({'Q7L2J0', 'Q6P1J9', 'IL4'})"
"frozenset({'P78357', 'IL4', 'P16333'})"
"frozenset({'Q15427', 'IL4', 'Q13435'})"
"frozenset({'O43493', 'IL4', 'O43301'})"
"frozenset({'Q8WU10', 'Q9Y4Z0', 'IL4'})"
"frozenset({'IL4', 'P62807', 'Q9BZ95'})"
"frozenset({'P17813', 'IL4', 'P27037'})"
"frozenset({'P22612', 'Q8NH37', 'IL4'})"
"frozenset({'IL4', 'Q9UPP1', 'Q8N884'})"
"frozenset({'Q5S007', 'IL4', 'P26373'})"
"frozenset({'IL4', 'P10721', 'P49763'})"
"frozenset({'Q8TEV9', 'IL4', 'Q9UHD2'})"
"frozenset({'IL4', 'O75153', 'P00540'})"
"frozenset({'P13805', 'IL4', 'Q13136'})"
"frozenset({'Q7Z6G3', 'IL4', 'P20807'})"
"frozenset({'O14965', 'Q92600', 'IL4'})"
"frozenset({'Q3MII6', 'Q96S53', 'IL4'})"
"frozenset({'P09326', 'IL4', 'P29692'})"
"frozenset({'Q9H2G9', 'IL4', 'P14317'})"
"frozenset({'Q8IWV7', 'IL4', 'P49703'})"
"frozenset({'Q07817', 'IL4', 'Q9UKL3'})"
"frozenset({'Q96K17', 'IL4', 'O43399'})"
"frozenset({'Q9NPF4', 'IL4', 'Q96BV0'})"
"frozenset({'Q14974', 'Q8NFH3', 'IL4'})"
"frozenset({'Q9H3U1', 'IL4', 'Q86SG6'})"
"frozenset({'Q9UBK5', 'IL4', 'P62993'})"
"frozenset({'IL4', 'Q99814', 'P35222'})"
"frozenset({'Q6NZY4', 'IL4', 'P38398'})"
"frozenset({'Q9UI26', 'IL4', 'Q9BUV8'})"
"frozenset({'Q6IQ32', 'IL4', 'P83916'})"
"frozenset({'P62249', 'Q86XR8', 'IL4'})"
"frozenset({'IL4', 'P49720', 'P14373'})"
"frozenset({'O60503', 'IL4', 'P59768'})"
"frozenset({'Q96SB4', 'IL4', 'Q96LR5'})"
"frozenset({'P22681', 'IL4', 'P35579'})"
"frozenset({'P48454', 'Q96LZ3', 'IL4'})"
"frozenset({'IL4', 'P43405', 'P01112'})"
"frozenset({'P25098', 'IL4', 'Q8NH04'})"
"frozenset({'Q9BQQ3', 'O00506', 'IL4'})"
"frozenset({'P0C7X2', 'IL4', 'P45973'})"
"frozenset({'Q9Y580', 'IL4', 'Q99459'})"
"frozenset({'IL4', 'Q15276', 'O75604'})"
"frozenset({'P57678', 'Q9BYR9', 'IL4'})"
"frozenset({'IL4', 'P67809', 'P49257'})"
"frozenset({'P12236', 'IL4', 'P49736'})"
"frozenset({'IL4', 'P46781', 'P62244'})"
"frozenset({'P13725', 'IL4', 'Q9HBE5'})"
"frozenset({'Q15717', 'P49756', 'IL4'})"
"frozenset({'P60520', 'Q9BXW4', 'IL4'})"
"frozenset({'P01106', 'IL4', 'P09234'})"
"frozenset({'Q15233', 'Q9H8W4', 'IL4'})"
"frozenset({'Q9BYD2', 'IL4', 'O75394'})"
"frozenset({'P17612', 'Q9HCR9', 'IL4'})"
"frozenset({'P68371', 'IL4', 'P62917'})"
"frozenset({'P37173', 'P29353', 'IL4'})"
"frozenset({'Q13614', 'Q9C0B0', 'IL4'})"
"frozenset({'P04637', 'IL4', 'Q8NE63'})"
"frozenset({'Q9P2H0', 'P08670', 'IL4'})"
"frozenset({'P11142', 'IL4', 'O43681'})"
"frozenset({'Q8WUK0', 'IL4', 'Q9BYQ4'})"
"frozenset({'P09471', 'P53778', 'IL4'})"
"frozenset({'Q6A162', 'IL4', 'P25786'})"
"frozenset({'Q00839', 'IL4', 'P82673'})"
"frozenset({'Q8IWL3', 'P45954', 'IL4'})"
"frozenset({'IL4', 'P67775', 'P19320'})"
"frozenset({'IL4', 'O43482', 'Q7Z6R9'})"
"frozenset({'Q01844', 'Q9UPN9', 'IL4'})"
"frozenset({'Q9UHC7', 'IL4', 'Q9UBL3'})"
"frozenset({'P60953', 'IL4', 'P0DPB6'})"
"frozenset({'Q9UMX0', 'P19438', 'IL4'})"
"frozenset({'IL4', 'Q8TEX9', 'O14929'})"
"frozenset({'O14633', 'Q9BYR5', 'IL4'})"
"frozenset({'P32121', 'IL4', 'O14514'})"
"frozenset({'Q13595', 'IL4', 'Q9BQ48'})"
"frozenset({'P21980', 'IL4', 'P05067'})"
"frozenset({'P68366', 'P63151', 'IL4'})"
"frozenset({'P46020', 'IL4', 'P0C862'})"
"frozenset({'P36578', 'P35637', 'IL4'})"
"frozenset({'IL4', 'P33316', 'P54819'})"
"frozenset({'O15350', 'IL4', 'Q6EMB2'})"
"frozenset({'IL4', 'Q99619', 'O15013'})"
"frozenset({'O00410', 'IL4', 'Q9NV06'})"
"frozenset({'P62314', 'P09661', 'IL4'})"
"frozenset({'Q12907', 'P54289', 'IL4'})"
"frozenset({'P60520', 'P49411', 'IL4'})"
"frozenset({'P54709', 'O95864', 'IL4'})"
"frozenset({'IL4', 'Q99578', 'P55196'})"
"frozenset({'P29692', 'IL4', 'P60033'})"
"frozenset({'P54132', 'IL4', 'O60934'})"
"frozenset({'Q16181', 'O43395', 'IL4'})"
"frozenset({'Q9NP58', 'Q9H0E2', 'IL4'})"
"frozenset({'Q9H2M9', 'O75365', 'IL4'})"
"frozenset({'P18206', 'IL4', 'O15067'})"
"frozenset({'P23284', 'IL4', 'Q01813'})"
"frozenset({'O94782', 'P61964', 'IL4'})"
"frozenset({'IL4', 'Q9BU61', 'O75306'})"
"frozenset({'IL4', 'P43243', 'Q5VTD9'})"
"frozenset({'P04637', 'O96017', 'IL4'})"
"frozenset({'P11047', 'IL4', 'P56199'})"
"frozenset({'IL4', 'Q9Y6A1', 'Q9UNA3'})"
"frozenset({'IL4', 'O75956', 'P05067'})"
"frozenset({'IL4', 'Q9C009', 'P46060'})"
"frozenset({'IL4', 'Q12791', 'Q01668'})"
"frozenset({'Q00610', 'IL4', 'Q9UQL6'})"
"frozenset({'P08621', 'IL4', 'P49841'})"
"frozenset({'Q16828', 'IL4', 'Q16539'})"
"frozenset({'Q9C0C9', 'O96017', 'IL4'})"
"frozenset({'Q9UPQ3', 'IL4', 'P30305'})"
"frozenset({'IL4', 'O15165', 'Q76N89'})"
"frozenset({'P42694', 'P35226', 'IL4'})"
"frozenset({'IL4', 'P51398', 'P82673'})"
"frozenset({'O43172', 'IL4', 'Q9UMS4'})"
"frozenset({'Q8IW35', 'IL4', 'Q71U36'})"
"frozenset({'Q52LJ0', 'IL4', 'P68402'})"
"frozenset({'IL4', 'P20674', 'P67809'})"
"frozenset({'IL4', 'P61247', 'P39019'})"
"frozenset({'Q9Y5Q8', 'IL4', 'Q7Z3S9'})"
"frozenset({'P10809', 'IL4', 'P01116'})"
"frozenset({'IL4', 'P41134', 'Q99543'})"
"frozenset({'IL4', 'P36897', 'Q9NS23'})"
"frozenset({'P62269', 'IL4', 'P83731'})"
"frozenset({'Q9NX62', 'IL4', 'Q15165'})"
"frozenset({'Q13148', 'IL4', 'Q9Y2X3'})"
"frozenset({'IL4', 'P20073', 'P51693'})"
"frozenset({'Q6ZW61', 'IL4', 'P17987'})"
"frozenset({'Q9H8W4', 'Q02750', 'IL4'})"
"frozenset({'Q92905', 'IL4', 'Q13257'})"
"frozenset({'Q9UKE5', 'IL4', 'O14737'})"
"frozenset({'O00423', 'IL4', 'Q9H9L3'})"
"frozenset({'IL4', 'Q9GZV8', 'O60573'})"
"frozenset({'Q9Y6Y0', 'IL4', 'Q9NRD1'})"
"frozenset({'O95425', 'IL4', 'P35749'})"
"frozenset({'IL4', 'Q3MHD2', 'P40337'})"
"frozenset({'IL4', 'P24468', 'Q9H422'})"
"frozenset({'P34932', 'IL4', 'P06493'})"
"frozenset({'IL4', 'Q12906', 'P14866'})"
"frozenset({'P29966', 'IL4', 'P24941'})"
"frozenset({'Q96IT1', 'P15880', 'IL4'})"
"frozenset({'Q567U6', 'IL4', 'Q14161'})"
"frozenset({'P61586', 'IL4', 'Q13464'})"
"frozenset({'P04075', 'IL4', 'A7E2Y1'})"
"frozenset({'Q9BQ87', 'IL4', 'Q9Y266'})"
"frozenset({'P46100', 'IL4', 'P61956'})"
"frozenset({'Q8NGV6', 'IL4', 'P38405'})"
"frozenset({'P62993', 'IL4', 'Q05513'})"
"frozenset({'Q16181', 'Q13641', 'IL4'})"
"frozenset({'IL4', 'P61313', 'P55209'})"
"frozenset({'P68036', 'IL4', 'P01100'})"
"frozenset({'IL4', 'Q6UWB1', 'P40225'})"
"frozenset({'Q9H9G7', 'Q58FF7', 'IL4'})"
"frozenset({'Q8WWY3', 'Q13625', 'IL4'})"
"frozenset({'Q8TAF3', 'IL4', 'Q14152'})"
"frozenset({'P23497', 'IL4', 'P49792'})"
"frozenset({'P60953', 'P33316', 'IL4'})"
"frozenset({'Q13616', 'Q9H4L4', 'IL4'})"
"frozenset({'P03372', 'IL4', 'O14777'})"
"frozenset({'Q9ULK4', 'IL4', 'Q96T37'})"
"frozenset({'IL4', 'Q9Y3C5', 'Q13546'})"
"frozenset({'Q58FG0', 'Q96GD4', 'IL4'})"
"frozenset({'P29474', 'IL4', 'Q92743'})"
"frozenset({'P54274', 'IL4', 'Q8WVM7'})"
"frozenset({'Q15678', 'P01106', 'IL4'})"
"frozenset({'P60953', 'P32121', 'IL4'})"
"frozenset({'IL4', 'Q9Y272', 'P16520'})"
"frozenset({'P57078', 'Q15185', 'IL4'})"
"frozenset({'P28072', 'IL4', 'P28074'})"
"frozenset({'P15880', 'IL4', 'Q659C4'})"
"frozenset({'O75147', 'O43390', 'IL4'})"
"frozenset({'Q7Z6Z7', 'IL4', 'P49959'})"
"frozenset({'P50453', 'Q13432', 'IL4'})"
"frozenset({'O00159', 'IL4', 'Q12906'})"
"frozenset({'P23284', 'IL4', 'O75152'})"
"frozenset({'IL4', 'Q9Y5S2', 'Q13546'})"
"frozenset({'P35070', 'Q15303', 'IL4'})"
"frozenset({'Q96KK5', 'IL4', 'P07954'})"
"frozenset({'P19784', 'IL4', 'P16383'})"
"frozenset({'P06899', 'IL4', 'Q9UKV0'})"
"frozenset({'IL4', 'P35244', 'O75717'})"
"frozenset({'IL4', 'P49407', 'Q8TD57'})"
"frozenset({'P36955', 'Q7L775', 'IL4'})"
"frozenset({'Q99942', 'IL4', 'P51668'})"
"frozenset({'Q8NHZ8', 'Q9UI95', 'IL4'})"
"frozenset({'Q96NT1', 'P54257', 'IL4'})"
"frozenset({'P06241', 'IL4', 'P54829'})"
"frozenset({'Q8TAD2', 'IL4', 'P26992'})"
"frozenset({'IL4', 'A6NKK0', 'P62873'})"
"frozenset({'P11940', 'IL4', 'P68871'})"
"frozenset({'Q71RG4', 'Q9UMX0', 'IL4'})"
"frozenset({'IL4', 'Q13153', 'P30613'})"
"frozenset({'Q8IWL3', 'IL4', 'Q9H0U6'})"
"frozenset({'P52594', 'IL4', 'P12830'})"
"frozenset({'Q13547', 'P11310', 'IL4'})"
"frozenset({'P62987', 'IL4', 'P19838'})"
"frozenset({'P10275', 'IL4', 'O96028'})"
"frozenset({'Q9BTT4', 'P24928', 'IL4'})"
"frozenset({'Q8N6H7', 'P03372', 'IL4'})"
"frozenset({'P02751', 'IL4', 'Q13765'})"
"frozenset({'P14859', 'P17096', 'IL4'})"
"frozenset({'Q9UHI6', 'O60939', 'IL4'})"
"frozenset({'IL4', 'Q15554', 'Q9UKJ3'})"
"frozenset({'IL4', 'P10828', 'P10588'})"
"frozenset({'Q8NI32', 'IL4', 'Q96JB5'})"
"frozenset({'O60870', 'IL4', 'P27694'})"
"frozenset({'Q9H4M9', 'Q7L804', 'IL4'})"
"frozenset({'P09016', 'IL4', 'O95863'})"
