negatives
"frozenset({'P61978', 'KitReceptor', 'O00213'})"
"frozenset({'KitReceptor', 'P12830', 'Q9Y6M7'})"
"frozenset({'P20062', 'Q6ZW49', 'KitReceptor'})"
"frozenset({'Q8TD19', 'KitReceptor', 'P33992'})"
"frozenset({'Q9BQE3', 'Q9NRD1', 'KitReceptor'})"
"frozenset({'Q9Y6M9', 'Q9Y6C9', 'KitReceptor'})"
"frozenset({'Q7Z7H3', 'KitReceptor', 'Q15323'})"
"frozenset({'P09382', 'KitReceptor', 'P16150'})"
"frozenset({'Q6W2J9', 'KitReceptor', 'Q12948'})"
"frozenset({'Q5JNZ5', 'P03372', 'KitReceptor'})"
"frozenset({'P62258', 'KitReceptor', 'P14866'})"
"frozenset({'Q8WWB5', 'KitReceptor', 'Q9UBI1'})"
"frozenset({'Q96SB3', 'KitReceptor', 'Q8N726'})"
"frozenset({'KitReceptor', 'P05412', 'P13804'})"
"frozenset({'P55769', 'KitReceptor', 'Q9BZK7'})"
"frozenset({'Q00987', 'KitReceptor', 'Q5T7V8'})"
"frozenset({'O95777', 'Q96IJ6', 'KitReceptor'})"
"frozenset({'Q8NDV7', 'KitReceptor', 'O95071'})"
"frozenset({'P62304', 'KitReceptor', 'Q93034'})"
"frozenset({'Q96K17', 'Q9Y4X5', 'KitReceptor'})"
"frozenset({'P18848', 'KitReceptor', 'P35637'})"
"frozenset({'KitReceptor', 'Q15788', 'P62805'})"
"frozenset({'KitReceptor', 'Q9H4G4', 'Q9UKY7'})"
"frozenset({'P62906', 'KitReceptor', 'Q9UBC3'})"
"frozenset({'P12004', 'KitReceptor', 'Q9UNA4'})"
"frozenset({'Q5T8P6', 'KitReceptor', 'P06400'})"
"frozenset({'Q9UH65', 'KitReceptor', 'Q9NVM9'})"
"frozenset({'KitReceptor', 'Q969F0', 'Q8N6Y0'})"
"frozenset({'P49407', 'KitReceptor', 'Q8NGL9'})"
"frozenset({'KitReceptor', 'P06899', 'Q96QV6'})"
"frozenset({'KitReceptor', 'Q86VP1', 'Q9Y371'})"
"frozenset({'Q9Y2H0', 'KitReceptor', 'Q9UBU9'})"
"frozenset({'Q8IWL3', 'Q15334', 'KitReceptor'})"
"frozenset({'P46779', 'KitReceptor', 'O00442'})"
"frozenset({'Q8N5Y8', 'KitReceptor', 'Q9UP83'})"
"frozenset({'KitReceptor', 'P35916', 'P21781'})"
"frozenset({'P36957', 'KitReceptor', 'Q8WVM8'})"
"frozenset({'Q96LK0', 'KitReceptor', 'Q92569'})"
"frozenset({'KitReceptor', 'Q9BQ67', 'P62993'})"
"frozenset({'Q96CN9', 'P15407', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9BQT8', 'Q9UNP9'})"
"frozenset({'KitReceptor', 'P56545', 'Q92530'})"
"frozenset({'Q9P2K2', 'KitReceptor', 'Q16635'})"
"frozenset({'KitReceptor', 'Q15051', 'P61086'})"
"frozenset({'KitReceptor', 'Q8TF76', 'P22087'})"
"frozenset({'Q9UMY1', 'KitReceptor', 'Q99496'})"
"frozenset({'P30405', 'Q9Y2Q3', 'KitReceptor'})"
"frozenset({'O15162', 'KitReceptor', 'P04899'})"
"frozenset({'Q13573', 'KitReceptor', 'Q9C019'})"
"frozenset({'P28288', 'KitReceptor', 'Q15526'})"
"frozenset({'Q13145', 'O75581', 'KitReceptor'})"
"frozenset({'P33981', 'KitReceptor', 'Q9UM11'})"
"frozenset({'Q9NYW3', 'KitReceptor', 'P23634'})"
"frozenset({'P04843', 'KitReceptor', 'Q7L2H7'})"
"frozenset({'Q96EQ0', 'KitReceptor', 'P10124'})"
"frozenset({'P11137', 'Q9UBQ5', 'KitReceptor'})"
"frozenset({'Q96DA6', 'KitReceptor', 'Q9Y3D7'})"
"frozenset({'Q93062', 'KitReceptor', 'Q66K41'})"
"frozenset({'KitReceptor', 'P19174', 'P78314'})"
"frozenset({'P61328', 'P78362', 'KitReceptor'})"
"frozenset({'Q92731', 'P50222', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q16666', 'Q08945'})"
"frozenset({'Q13418', 'KitReceptor', 'Q9Y265'})"
"frozenset({'Q15717', 'Q9Y297', 'KitReceptor'})"
"frozenset({'Q9UBW8', 'KitReceptor', 'P35638'})"
"frozenset({'Q9BWF3', 'Q13387', 'KitReceptor'})"
"frozenset({'Q13200', 'P48039', 'KitReceptor'})"
"frozenset({'Q02556', 'KitReceptor', 'P21359'})"
"frozenset({'P22612', 'KitReceptor', 'P17301'})"
"frozenset({'KitReceptor', 'Q9UKS6', 'P61163'})"
"frozenset({'Q9BPX3', 'P04629', 'KitReceptor'})"
"frozenset({'Q8TCS8', 'Q14CZ7', 'KitReceptor'})"
"frozenset({'Q5ST30', 'KitReceptor', 'Q9NYB9'})"
"frozenset({'O00358', 'O60684', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P46940', 'P16070'})"
"frozenset({'KitReceptor', 'P04628', 'P19387'})"
"frozenset({'KitReceptor', 'P17252', 'P00533'})"
"frozenset({'KitReceptor', 'Q9H2H9', 'P30505'})"
"frozenset({'KitReceptor', 'Q9BQY4', 'Q8TES7'})"
