negatives
"frozenset({'Leptin', 'O14964', 'P08581'})"
"frozenset({'Leptin', 'Q9P2H0', 'Q96D09'})"
"frozenset({'Leptin', 'O75665', 'Q9P2J5'})"
"frozenset({'Q15459', 'Leptin', 'Q92731'})"
"frozenset({'Leptin', 'O60260', 'O95831'})"
"frozenset({'Leptin', 'Q9H9G7', 'P23588'})"
"frozenset({'Q15109', 'Leptin', 'P62993'})"
"frozenset({'Leptin', 'P57053', 'Q05655'})"
"frozenset({'Leptin', 'P49447', 'Q99942'})"
"frozenset({'Leptin', 'Q8TAP6', 'P68371'})"
"frozenset({'Leptin', 'Q6NUQ1', 'Q9NZQ7'})"
"frozenset({'Leptin', 'P09455', 'Q4LE39'})"
"frozenset({'Leptin', 'A8MQ03', 'Q9BYE3'})"
"frozenset({'Leptin', 'Q15796', 'P51532'})"
"frozenset({'Leptin', 'Q9BWP8', 'P35625'})"
"frozenset({'Leptin', 'Q8TAK6', 'Q02363'})"
"frozenset({'Leptin', 'Q9H2U2', 'P49748'})"
"frozenset({'Q9Y4J8', 'Leptin', 'Q9NR31'})"
"frozenset({'Q9NQT5', 'Leptin', 'Q9Y5P4'})"
"frozenset({'O60346', 'Leptin', 'Q09019'})"
"frozenset({'Leptin', 'P37840', 'Q8NI35'})"
"frozenset({'Leptin', 'O75528', 'P10276'})"
"frozenset({'Leptin', 'Q9Y4C2', 'Q9UKT9'})"
"frozenset({'Leptin', 'Q6PI77', 'Q3B820'})"
"frozenset({'Leptin', 'P84098', 'P30050'})"
"frozenset({'Leptin', 'P42224', 'P51813'})"
"frozenset({'Leptin', 'P56945', 'P08514'})"
"frozenset({'Leptin', 'Q9HCD5', 'Q14999'})"
"frozenset({'Leptin', 'O14543', 'P00533'})"
"frozenset({'Leptin', 'Q9NW08', 'Q6VAB6'})"
"frozenset({'Leptin', 'Q8IVT5', 'Q9NZ01'})"
"frozenset({'P17081', 'Leptin', 'Q9UNA1'})"
"frozenset({'P05413', 'Leptin', 'P04629'})"
"frozenset({'Leptin', 'Q08379', 'P78337'})"
"frozenset({'Leptin', 'P04275', 'Q9UKX5'})"
"frozenset({'Leptin', 'O75558', 'Q16512'})"
"frozenset({'Leptin', 'Q9GZQ8', 'O60884'})"
"frozenset({'Leptin', 'Q96EP0', 'Q13489'})"
"frozenset({'O15230', 'P08648', 'Leptin'})"
"frozenset({'Leptin', 'Q92556', 'Q9BYV2'})"
"frozenset({'Leptin', 'P35226', 'Q14974'})"
"frozenset({'Leptin', 'O95340', 'Q96LK0'})"
"frozenset({'Leptin', 'Q12788', 'Q8TED0'})"
"frozenset({'P11226', 'P26022', 'Leptin'})"
"frozenset({'Leptin', 'Q8NCC3', 'Q9NRD1'})"
"frozenset({'Q49AN0', 'Leptin', 'O43143'})"
"frozenset({'Leptin', 'Q9UBF6', 'Q6PH85'})"
