negatives
"frozenset({'Q15906', 'Q9UBU8', 'Notch'})"
"frozenset({'Q08752', 'Notch', 'P07332'})"
"frozenset({'Notch', 'P01111', 'Q9NS23'})"
"frozenset({'Notch', 'P18084', 'P63244'})"
"frozenset({'Q9Y490', 'Notch', 'Q14118'})"
"frozenset({'Notch', 'Q9NW08', 'Q9Y535'})"
"frozenset({'Q401N2', 'Q95460', 'Notch'})"
"frozenset({'Notch', 'P62750', 'O43324'})"
"frozenset({'Q7L9B9', 'Q8NFB2', 'Notch'})"
"frozenset({'O15498', 'O95249', 'Notch'})"
"frozenset({'Q14957', 'Notch', 'P36873'})"
"frozenset({'P51685', 'P10145', 'Notch'})"
"frozenset({'O95376', 'Notch', 'P26367'})"
"frozenset({'P19174', 'Notch', 'P06748'})"
"frozenset({'P62158', 'Q96PM5', 'Notch'})"
"frozenset({'Q9UNI1', 'Notch', 'P01009'})"
"frozenset({'Q86YM7', 'Notch', 'P21817'})"
"frozenset({'Notch', 'Q04759', 'Q9GZQ8'})"
"frozenset({'O94913', 'Notch', 'Q53EL6'})"
"frozenset({'Q9UK08', 'Q8NFM4', 'Notch'})"
"frozenset({'Q99496', 'P0C0S8', 'Notch'})"
"frozenset({'P01889', 'Notch', 'P23921'})"
"frozenset({'P62140', 'Q9Y4I1', 'Notch'})"
"frozenset({'P08648', 'Notch', 'Q05397'})"
"frozenset({'P01106', 'Notch', 'Q07864'})"
"frozenset({'P26038', 'P30504', 'Notch'})"
"frozenset({'Notch', 'Q8N6R0', 'O75937'})"
"frozenset({'Notch', 'O95166', 'Q00005'})"
"frozenset({'Q96HA8', 'O15217', 'Notch'})"
"frozenset({'Q92841', 'Q9BY42', 'Notch'})"
"frozenset({'Q9BSF4', 'Q9UGM1', 'Notch'})"
"frozenset({'Notch', 'P60842', 'A0JLT2'})"
"frozenset({'P46939', 'Notch', 'Q96FV9'})"
"frozenset({'Q13151', 'Q8IYB3', 'Notch'})"
"frozenset({'P30041', 'Notch', 'P05412'})"
"frozenset({'Notch', 'P78318', 'P31949'})"
"frozenset({'Notch', 'O76081', 'O60336'})"
"frozenset({'Notch', 'Q9H492', 'P54652'})"
"frozenset({'Q01844', 'Notch', 'P51116'})"
"frozenset({'Q9NVI1', 'Q9NPD8', 'Notch'})"
"frozenset({'Notch', 'Q99459', 'Q13523'})"
"frozenset({'Q99661', 'Notch', 'Q5FBB7'})"
"frozenset({'Q1KMD3', 'Notch', 'Q07020'})"
"frozenset({'Q8NCM8', 'Q9NY65', 'Notch'})"
"frozenset({'Q5UIP0', 'Notch', 'P16870'})"
"frozenset({'Q8WVX9', 'Notch', 'Q13286'})"
"frozenset({'Notch', 'P13631', 'Q09472'})"
"frozenset({'Notch', 'O15169', 'Q86X55'})"
"frozenset({'P35626', 'Notch', 'Q6IFG1'})"
"frozenset({'P46020', 'Notch', 'Q96GE6'})"
"frozenset({'Notch', 'Q9Y4K3', 'P22607'})"
"frozenset({'P12830', 'Notch', 'P62750'})"
"frozenset({'O00471', 'Notch', 'Q96E40'})"
"frozenset({'Notch', 'P41250', 'Q9HCU4'})"
"frozenset({'Q14152', 'Notch', 'Q9Y5A9'})"
"frozenset({'Q16082', 'P68032', 'Notch'})"
"frozenset({'Q5MJ68', 'Notch', 'P30307'})"
"frozenset({'P28070', 'Notch', 'O15205'})"
"frozenset({'Q01081', 'Notch', 'P62701'})"
"frozenset({'Q01970', 'Notch', 'P61952'})"
"frozenset({'Q7L4I2', 'Q9NUX5', 'Notch'})"
"frozenset({'Q9UL33', 'Notch', 'Q8WVT3'})"
"frozenset({'Q63HM1', 'Notch', 'Q3KQV9'})"
"frozenset({'P67936', 'Notch', 'P21333'})"
"frozenset({'Notch', 'Q93034', 'P04350'})"
"frozenset({'P26006', 'Notch', 'P04004'})"
