negatives
"frozenset({'Q9BSI4', 'OncostatinM', 'P36871'})"
"frozenset({'OncostatinM', 'P48163', 'Q13287'})"
"frozenset({'OncostatinM', 'Q8IXL6', 'Q9GZV9'})"
"frozenset({'Q00G26', 'OncostatinM', 'Q86UD0'})"
"frozenset({'OncostatinM', 'O15379', 'Q9Y4B6'})"
"frozenset({'OncostatinM', 'P42701', 'P15248'})"
"frozenset({'Q71U36', 'OncostatinM', 'Q04917'})"
"frozenset({'Q92888', 'OncostatinM', 'Q14155'})"
"frozenset({'OncostatinM', 'Q8NB16', 'Q9HD15'})"
"frozenset({'OncostatinM', 'Q5TGI0', 'P10768'})"
"frozenset({'OncostatinM', 'Q5S007', 'Q15008'})"
"frozenset({'P04629', 'OncostatinM', 'P13804'})"
"frozenset({'P40429', 'OncostatinM', 'P49736'})"
"frozenset({'P52298', 'OncostatinM', 'P10074'})"
"frozenset({'OncostatinM', 'P61964', 'P16220'})"
"frozenset({'Q8TE02', 'OncostatinM', 'P0C7T5'})"
"frozenset({'Q08999', 'OncostatinM', 'P21266'})"
"frozenset({'P25705', 'OncostatinM', 'Q9H040'})"
"frozenset({'OncostatinM', 'P63167', 'O14490'})"
"frozenset({'P26368', 'OncostatinM', 'Q5T200'})"
"frozenset({'OncostatinM', 'Q15637', 'Q15459'})"
"frozenset({'OncostatinM', 'P27986', 'P17181'})"
"frozenset({'OncostatinM', 'P45877', 'Q9NZ09'})"
"frozenset({'P29992', 'OncostatinM', 'P04054'})"
"frozenset({'OncostatinM', 'Q9HBH0', 'Q52LW3'})"
"frozenset({'Q13614', 'OncostatinM', 'P07196'})"
"frozenset({'OncostatinM', 'P30086', 'Q14914'})"
"frozenset({'P04629', 'OncostatinM', 'Q7L0Y3'})"
"frozenset({'OncostatinM', 'O00330', 'P05412'})"
"frozenset({'OncostatinM', 'P14635', 'Q01105'})"
"frozenset({'OncostatinM', 'Q99612', 'P12830'})"
"frozenset({'OncostatinM', 'P09651', 'P82650'})"
"frozenset({'Q9UBU9', 'OncostatinM', 'P57772'})"
"frozenset({'Q13813', 'OncostatinM', 'Q12879'})"
"frozenset({'OncostatinM', 'P02751', 'Q92900'})"
"frozenset({'OncostatinM', 'O43889', 'O00268'})"
"frozenset({'OncostatinM', 'P61088', 'Q86XS8'})"
"frozenset({'OncostatinM', 'Q13596', 'P21283'})"
"frozenset({'OncostatinM', 'P00505', 'Q14914'})"
"frozenset({'OncostatinM', 'P30305', 'Q9Y3OncostatinM2'})"
"frozenset({'OncostatinM', 'P63173', 'Q9Y5OncostatinM8'})"
"frozenset({'OncostatinM', 'Q9Y3OncostatinM8', 'Q5VZ89'})"
"frozenset({'Q14721', 'OncostatinM', 'Q8TDN2'})"
"frozenset({'P17844', 'OncostatinM', 'Q99459'})"
"frozenset({'OncostatinM', 'P62937', 'P14209'})"
"frozenset({'P13569', 'OncostatinM', 'P13645'})"
"frozenset({'Q7KZ85', 'P24928', 'OncostatinM'})"
"frozenset({'Q05516', 'OncostatinM', 'P20591'})"
"frozenset({'Q969F0', 'OncostatinM', 'Q68CJ9'})"
"frozenset({'OncostatinM', 'O14593', 'Q2KHR2'})"
"frozenset({'P02462', 'P53708', 'OncostatinM'})"
