negatives
"frozenset({'Q0VGL1', 'Receptor', 'P36543'})"
"frozenset({'P17980', 'O60260', 'Receptor'})"
"frozenset({'Q5HYN5', 'O00560', 'Receptor'})"
"frozenset({'P42858', 'Q9ULU4', 'Receptor'})"
"frozenset({'Q8N3V7', 'P09496', 'Receptor'})"
"frozenset({'Receptor', 'P11362', 'P32004'})"
"frozenset({'Q7Z3S9', 'Receptor', 'Q8N370'})"
"frozenset({'P13569', 'Q02817', 'Receptor'})"
"frozenset({'Q9BWW4', 'Q9H9S0', 'Receptor'})"
"frozenset({'Q8IWL3', 'Q969S3', 'Receptor'})"
"frozenset({'Receptor', 'Q9P2W3', 'Q15612'})"
"frozenset({'Receptor', 'Q15022', 'P16989'})"
"frozenset({'Q6RVD6', 'P60409', 'Receptor'})"
"frozenset({'Q92769', 'Receptor', 'P68431'})"
"frozenset({'Q96L21', 'P50914', 'Receptor'})"
"frozenset({'P01116', 'Receptor', 'Q9UHB6'})"
"frozenset({'O60716', 'O14965', 'Receptor'})"
"frozenset({'Q9Y4H2', 'Q5UE93', 'Receptor'})"
"frozenset({'O75815', 'Q9UBP4', 'Receptor'})"
"frozenset({'P62877', 'Receptor', 'Q8TEL6'})"
"frozenset({'Receptor', 'P61088', 'Q9HBD1'})"
"frozenset({'P32121', 'Receptor', 'Q8NGA0'})"
"frozenset({'Q9UKB1', 'Q6ZN18', 'Receptor'})"
"frozenset({'Q8NG85', 'Q9P2W3', 'Receptor'})"
"frozenset({'Q58WW2', 'Receptor', 'P43355'})"
"frozenset({'P09493', 'Q9P2B7', 'Receptor'})"
"frozenset({'Q05209', 'Q9ULA0', 'Receptor'})"
"frozenset({'Q9HAU5', 'P26373', 'Receptor'})"
"frozenset({'Q96FE5', 'Q9BYQ4', 'Receptor'})"
"frozenset({'Receptor', 'Q93034', 'Q8WXC6'})"
"frozenset({'Q96EG3', 'Receptor', 'Q9BYQ6'})"
"frozenset({'O43264', 'Q9Y5J5', 'Receptor'})"
"frozenset({'O94905', 'Receptor', 'P13639'})"
"frozenset({'Receptor', 'Q96HR8', 'Q14145'})"
"frozenset({'P29317', 'P46108', 'Receptor'})"
"frozenset({'P05412', 'Receptor', 'O00330'})"
"frozenset({'P38398', 'Q9GZR7', 'Receptor'})"
"frozenset({'Q9P1Z2', 'Q99963', 'Receptor'})"
"frozenset({'P48736', 'P27986', 'Receptor'})"
"frozenset({'Q9NRD1', 'P51532', 'Receptor'})"
"frozenset({'P12830', 'Q99848', 'Receptor'})"
"frozenset({'P05412', 'Receptor', 'P68104'})"
"frozenset({'P04629', 'Q5MIZ7', 'Receptor'})"
"frozenset({'Q08380', 'Q9BV73', 'Receptor'})"
"frozenset({'Q9UER7', 'P83916', 'Receptor'})"
"frozenset({'P42336', 'P17301', 'Receptor'})"
"frozenset({'Q9NSG2', 'P05067', 'Receptor'})"
"frozenset({'Q86UN2', 'P60369', 'Receptor'})"
"frozenset({'O95166', 'P62906', 'Receptor'})"
"frozenset({'Q96JH7', 'Q96Q89', 'Receptor'})"
"frozenset({'Q99933', 'P01106', 'Receptor'})"
"frozenset({'P04264', 'Q15323', 'Receptor'})"
