negatives
"frozenset({'Q0VGL1', 'TGFbetaReceptor', 'P36543'})"
"frozenset({'P17980', 'O60260', 'TGFbetaReceptor'})"
"frozenset({'Q5HYN5', 'O00560', 'TGFbetaReceptor'})"
"frozenset({'P42858', 'Q9ULU4', 'TGFbetaReceptor'})"
"frozenset({'Q8N3V7', 'P09496', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P11362', 'P32004'})"
"frozenset({'Q7Z3S9', 'TGFbetaReceptor', 'Q8N370'})"
"frozenset({'P13569', 'Q02817', 'TGFbetaReceptor'})"
"frozenset({'Q9BWW4', 'Q9H9S0', 'TGFbetaReceptor'})"
"frozenset({'Q8IWL3', 'Q969S3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9P2W3', 'Q15612'})"
"frozenset({'TGFbetaReceptor', 'Q15022', 'P16989'})"
"frozenset({'Q6RVD6', 'P60409', 'TGFbetaReceptor'})"
"frozenset({'Q92769', 'TGFbetaReceptor', 'P68431'})"
"frozenset({'Q96L21', 'P50914', 'TGFbetaReceptor'})"
"frozenset({'P01116', 'TGFbetaReceptor', 'Q9UHB6'})"
"frozenset({'O60716', 'O14965', 'TGFbetaReceptor'})"
"frozenset({'Q9Y4H2', 'Q5UE93', 'TGFbetaReceptor'})"
"frozenset({'O75815', 'Q9UBP4', 'TGFbetaReceptor'})"
"frozenset({'P62877', 'TGFbetaReceptor', 'Q8TEL6'})"
"frozenset({'TGFbetaReceptor', 'P61088', 'Q9HBD1'})"
"frozenset({'P32121', 'TGFbetaReceptor', 'Q8NGA0'})"
"frozenset({'Q9UKB1', 'Q6ZN18', 'TGFbetaReceptor'})"
"frozenset({'Q8NG85', 'Q9P2W3', 'TGFbetaReceptor'})"
"frozenset({'Q58WW2', 'TGFbetaReceptor', 'P43355'})"
"frozenset({'P09493', 'Q9P2B7', 'TGFbetaReceptor'})"
"frozenset({'Q05209', 'Q9ULA0', 'TGFbetaReceptor'})"
"frozenset({'Q9HAU5', 'P26373', 'TGFbetaReceptor'})"
"frozenset({'Q96FE5', 'Q9BYQ4', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q93034', 'Q8WXC6'})"
"frozenset({'Q96EG3', 'TGFbetaReceptor', 'Q9BYQ6'})"
"frozenset({'O43264', 'Q9Y5J5', 'TGFbetaReceptor'})"
"frozenset({'O94905', 'TGFbetaReceptor', 'P13639'})"
"frozenset({'TGFbetaReceptor', 'Q96HR8', 'Q14145'})"
"frozenset({'P29317', 'P46108', 'TGFbetaReceptor'})"
"frozenset({'P05412', 'TGFbetaReceptor', 'O00330'})"
"frozenset({'P38398', 'Q9GZR7', 'TGFbetaReceptor'})"
"frozenset({'Q9P1Z2', 'Q99963', 'TGFbetaReceptor'})"
"frozenset({'P48736', 'P27986', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'P51532', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'Q99848', 'TGFbetaReceptor'})"
"frozenset({'P05412', 'TGFbetaReceptor', 'P68104'})"
"frozenset({'P04629', 'Q5MIZ7', 'TGFbetaReceptor'})"
"frozenset({'Q08380', 'Q9BV73', 'TGFbetaReceptor'})"
"frozenset({'Q9UER7', 'P83916', 'TGFbetaReceptor'})"
"frozenset({'P42336', 'P17301', 'TGFbetaReceptor'})"
"frozenset({'Q9NSG2', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q86UN2', 'P60369', 'TGFbetaReceptor'})"
"frozenset({'O95166', 'P62906', 'TGFbetaReceptor'})"
"frozenset({'Q96JH7', 'Q96Q89', 'TGFbetaReceptor'})"
"frozenset({'Q99933', 'P01106', 'TGFbetaReceptor'})"
"frozenset({'P04264', 'Q15323', 'TGFbetaReceptor'})"
"frozenset({'Q9UQB8', 'O95297', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q96Q45', 'P35606'})"
"frozenset({'Q96PV6', 'TGFbetaReceptor', 'P54259'})"
"frozenset({'Q6P5W5', 'TGFbetaReceptor', 'Q96E52'})"
"frozenset({'Q969M3', 'P14854', 'TGFbetaReceptor'})"
"frozenset({'Q15834', 'O95990', 'TGFbetaReceptor'})"
"frozenset({'P20783', 'P35968', 'TGFbetaReceptor'})"
"frozenset({'Q9H0R8', 'P31942', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P21802', 'Q15389'})"
"frozenset({'TGFbetaReceptor', 'Q9Y2W7', 'O95180'})"
"frozenset({'P09651', 'P55072', 'TGFbetaReceptor'})"
"frozenset({'Q96AQ6', 'Q9ULU4', 'TGFbetaReceptor'})"
"frozenset({'Q96JW4', 'O43889', 'TGFbetaReceptor'})"
"frozenset({'Q2M296', 'O15350', 'TGFbetaReceptor'})"
"frozenset({'P78334', 'Q6ZXV5', 'TGFbetaReceptor'})"
"frozenset({'P25788', 'P06576', 'TGFbetaReceptor'})"
"frozenset({'O75251', 'Q9UI09', 'TGFbetaReceptor'})"
"frozenset({'Q14151', 'Q15637', 'TGFbetaReceptor'})"
"frozenset({'Q04917', 'Q13796', 'TGFbetaReceptor'})"
"frozenset({'Q9UM00', 'TGFbetaReceptor', 'O00505'})"
"frozenset({'Q6ZT21', 'Q8WXA8', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'P62258', 'TGFbetaReceptor'})"
"frozenset({'Q7L2J0', 'TGFbetaReceptor', 'Q9BZI7'})"
"frozenset({'P15927', 'P20042', 'TGFbetaReceptor'})"
"frozenset({'P09651', 'Q02078', 'TGFbetaReceptor'})"
"frozenset({'Q9BQ95', 'P12814', 'TGFbetaReceptor'})"
"frozenset({'P14672', 'P51665', 'TGFbetaReceptor'})"
"frozenset({'Q9BW61', 'P78527', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8WVM0', 'Q00059'})"
"frozenset({'Q99816', 'Q9UJY5', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q01844', 'Q9NZ63'})"
"frozenset({'P62158', 'P63098', 'TGFbetaReceptor'})"
"frozenset({'Q9BQI5', 'P42566', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P57721', 'P62330'})"
"frozenset({'Q13618', 'TGFbetaReceptor', 'P40337'})"
"frozenset({'A5A3E0', 'P16473', 'TGFbetaReceptor'})"
"frozenset({'Q01196', 'P17542', 'TGFbetaReceptor'})"
"frozenset({'P62266', 'P23396', 'TGFbetaReceptor'})"
"frozenset({'P43307', 'P49257', 'TGFbetaReceptor'})"
"frozenset({'P55040', 'Q13049', 'TGFbetaReceptor'})"
"frozenset({'P43360', 'Q8IYE0', 'TGFbetaReceptor'})"
"frozenset({'P84098', 'P63220', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P20671', 'Q99879'})"
"frozenset({'Q9BXR0', 'Q9H974', 'TGFbetaReceptor'})"
"frozenset({'Q92997', 'TGFbetaReceptor', 'Q96BV0'})"
"frozenset({'P31749', 'O75925', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q86VZ1', 'Q13733'})"
"frozenset({'Q8WYH8', 'P23434', 'TGFbetaReceptor'})"
"frozenset({'Q06609', 'TGFbetaReceptor', 'Q86YC2'})"
