negatives
"frozenset({'Q0D2I5', 'TNFalpha', 'Q7L0Q8'})"
"frozenset({'Q8WVJ2', 'TNFalpha', 'O60308'})"
"frozenset({'O60260', 'TNFalpha', 'P07910'})"
"frozenset({'TNFalpha', 'P06213', 'Q13501'})"
"frozenset({'Q5JTW2', 'TNFalpha', 'Q9BV73'})"
"frozenset({'Q9H6Z4', 'Q8NDC4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P55072', 'Q14191'})"
"frozenset({'P36888', 'Q9GZV9', 'TNFalpha'})"
"frozenset({'Q15596', 'P43364', 'TNFalpha'})"
"frozenset({'Q14164', 'TNFalpha', 'Q8WU90'})"
"frozenset({'P48146', 'Q8N9W6', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P52788', 'P00338'})"
"frozenset({'Q13503', 'TNFalpha', 'Q8NBB4'})"
"frozenset({'Q15797', 'Q9UPZ9', 'TNFalpha'})"
"frozenset({'P03372', 'TNFalpha', 'P30305'})"
"frozenset({'Q9NXR1', 'TNFalpha', 'Q9BV73'})"
"frozenset({'Q4L180', 'P67870', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9H672', 'P20774'})"
"frozenset({'Q9NY61', 'TNFalpha', 'Q04206'})"
"frozenset({'TNFalpha', 'Q9Y5K5', 'P62333'})"
"frozenset({'O15083', 'Q16854', 'TNFalpha'})"
"frozenset({'Q96AW1', 'P08588', 'TNFalpha'})"
"frozenset({'P48039', 'TNFalpha', 'O15321'})"
"frozenset({'Q9NRD5', 'Q8IYX8', 'TNFalpha'})"
"frozenset({'P54819', 'TNFalpha', 'Q8IY67'})"
"frozenset({'P13637', 'TNFalpha', 'P30466'})"
"frozenset({'Q7L3V2', 'TNFalpha', 'Q92843'})"
"frozenset({'P01106', 'P52735', 'TNFalpha'})"
"frozenset({'Q9Y3D6', 'TNFalpha', 'P29474'})"
"frozenset({'Q8TED1', 'Q96HE7', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P26842', 'O60503'})"
"frozenset({'P40227', 'P26368', 'TNFalpha'})"
"frozenset({'Q8N684', 'TNFalpha', 'P78362'})"
"frozenset({'Q9UBQ7', 'P49190', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O96020', 'Q9UJX4'})"
"frozenset({'P06400', 'P55212', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9UBI6', 'P01111'})"
"frozenset({'P01106', 'P16070', 'TNFalpha'})"
"frozenset({'Q01449', 'TNFalpha', 'A8K0Z3'})"
"frozenset({'Q92619', 'P62258', 'TNFalpha'})"
"frozenset({'P54289', 'P22694', 'TNFalpha'})"
"frozenset({'P34741', 'Q15465', 'TNFalpha'})"
"frozenset({'Q7Z3D6', 'A1L188', 'TNFalpha'})"
"frozenset({'Q13287', 'TNFalpha', 'P09543'})"
"frozenset({'Q9Y376', 'Q9H9S4', 'TNFalpha'})"
"frozenset({'P56524', 'TNFalpha', 'P15336'})"
"frozenset({'Q9HAF1', 'TNFalpha', 'P0C0S5'})"
"frozenset({'P00519', 'P07203', 'TNFalpha'})"
"frozenset({'Q86WJ1', 'Q15562', 'TNFalpha'})"
"frozenset({'P02545', 'Q96CX2', 'TNFalpha'})"
"frozenset({'P80188', 'TNFalpha', 'O14595'})"
"frozenset({'Q96AZ1', 'P07858', 'TNFalpha'})"
"frozenset({'O95747', 'P04629', 'TNFalpha'})"
"frozenset({'P50750', 'Q9NR30', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O43745', 'Q99750'})"
"frozenset({'Q9UI26', 'Q12933', 'TNFalpha'})"
"frozenset({'Q9H0R8', 'Q8N1C3', 'TNFalpha'})"
"frozenset({'Q09666', 'TNFalpha', 'P61956'})"
"frozenset({'O00625', 'P61604', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P00519', 'Q8TB24'})"
"frozenset({'Q6EMK4', 'TNFalpha', 'Q99750'})"
"frozenset({'P07199', 'Q9BZD4', 'TNFalpha'})"
"frozenset({'Q6KC79', 'TNFalpha', 'Q9NRC8'})"
"frozenset({'P49736', 'TNFalpha', 'Q9HA64'})"
"frozenset({'O95613', 'TNFalpha', 'O94986'})"
"frozenset({'Q9NZI7', 'TNFalpha', 'Q99958'})"
"frozenset({'Q8TCT9', 'TNFalpha', 'Q86X19'})"
"frozenset({'P05412', 'Q9Y2R9', 'TNFalpha'})"
"frozenset({'Q86TA1', 'TNFalpha', 'P02775'})"
"frozenset({'Q14289', 'O15259', 'TNFalpha'})"
"frozenset({'O14980', 'P50579', 'TNFalpha'})"
"frozenset({'P82675', 'TNFalpha', 'Q9NY93'})"
"frozenset({'Q92839', 'P18146', 'TNFalpha'})"
