negatives
"frozenset({'P54577', 'TWEAK', 'Q12952'})"
"frozenset({'Q66LE6', 'TWEAK', 'P14416'})"
"frozenset({'Q12905', 'Q8NHW5', 'TWEAK'})"
"frozenset({'P49736', 'P62736', 'TWEAK'})"
"frozenset({'P25098', 'TWEAK', 'Q8NH54'})"
"frozenset({'Q969Q6', 'Q08289', 'TWEAK'})"
"frozenset({'TWEAK', 'Q93096', 'Q9UDV6'})"
"frozenset({'A8MQ03', 'TWEAK', 'P84090'})"
"frozenset({'Q70EL2', 'TWEAK', 'Q15424'})"
"frozenset({'Q92841', 'Q9GZQ8', 'TWEAK'})"
"frozenset({'P09651', 'Q96SI9', 'TWEAK'})"
"frozenset({'TWEAK', 'O60307', 'O60573'})"
"frozenset({'Q6ZQN5', 'TWEAK', 'P31276'})"
"frozenset({'TWEAK', 'P41240', 'Q5T7N3'})"
"frozenset({'Q16864', 'Q13423', 'TWEAK'})"
"frozenset({'Q96QR1', 'O43542', 'TWEAK'})"
"frozenset({'Q9H0N5', 'P20823', 'TWEAK'})"
"frozenset({'Q99704', 'TWEAK', 'P27986'})"
"frozenset({'P45983', 'TWEAK', 'P06401'})"
"frozenset({'Q96IX9', 'Q6A163', 'TWEAK'})"
"frozenset({'Q9UM19', 'Q7Z699', 'TWEAK'})"
"frozenset({'Q6NXT4', 'TWEAK', 'Q9Y2A9'})"
"frozenset({'Q9P286', 'O43639', 'TWEAK'})"
"frozenset({'TWEAK', 'Q9Y4K3', 'O14964'})"
"frozenset({'Q6IQ23', 'P13010', 'TWEAK'})"
"frozenset({'Q8N163', 'O76071', 'TWEAK'})"
"frozenset({'TWEAK', 'O95848', 'P10398'})"
"frozenset({'O43298', 'P61968', 'TWEAK'})"
"frozenset({'Q8WTQ7', 'P25025', 'TWEAK'})"
"frozenset({'Q16659', 'P05771', 'TWEAK'})"
"frozenset({'TWEAK', 'Q15678', 'Q9BT78'})"
"frozenset({'P21333', 'Q13554', 'TWEAK'})"
"frozenset({'Q9Y383', 'TWEAK', 'Q07021'})"
"frozenset({'P63279', 'P54646', 'TWEAK'})"
"frozenset({'O75506', 'TWEAK', 'Q96NL6'})"
"frozenset({'P25788', 'P22626', 'TWEAK'})"
"frozenset({'P46776', 'P18621', 'TWEAK'})"
"frozenset({'O43166', 'Q9Y2I6', 'TWEAK'})"
"frozenset({'P05067', 'Q16517', 'TWEAK'})"
"frozenset({'Q15834', 'TWEAK', 'P62875'})"
"frozenset({'Q6PF15', 'P20591', 'TWEAK'})"
"frozenset({'Q13618', 'TWEAK', 'Q86VM9'})"
"frozenset({'TWEAK', 'P12268', 'P01889'})"
"frozenset({'Q92506', 'Q96EN8', 'TWEAK'})"
"frozenset({'P68871', 'TWEAK', 'Q9NR12'})"
"frozenset({'Q07666', 'Q86VP6', 'TWEAK'})"
"frozenset({'P25098', 'TWEAK', 'Q8NGI0'})"
"frozenset({'P84098', 'P46781', 'TWEAK'})"
"frozenset({'O95273', 'P09429', 'TWEAK'})"
"frozenset({'E9PAV3', 'P05161', 'TWEAK'})"
"frozenset({'P38936', 'Q9BYV2', 'TWEAK'})"
"frozenset({'P61978', 'P07948', 'TWEAK'})"
"frozenset({'TWEAK', 'Q6I9Y2', 'Q9GZT8'})"
"frozenset({'Q8TBB1', 'P32321', 'TWEAK'})"
"frozenset({'TWEAK', 'Q13424', 'A8MTJ3'})"
"frozenset({'Q96AQ6', 'TWEAK', 'Q5QGZ9'})"
"frozenset({'P07814', 'Q6P1J9', 'TWEAK'})"
"frozenset({'Q66K80', 'TWEAK', 'P61964'})"
"frozenset({'TWEAK', 'Q96KK5', 'P62937'})"
"frozenset({'Q5H9F3', 'TWEAK', 'Q86SE9'})"
"frozenset({'P17612', 'Q14643', 'TWEAK'})"
"frozenset({'O95373', 'TWEAK', 'Q15046'})"
"frozenset({'P62995', 'Q01130', 'TWEAK'})"
"frozenset({'O14920', 'O75688', 'TWEAK'})"
"frozenset({'TWEAK', 'Q96QT4', 'P04083'})"
"frozenset({'O95758', 'TWEAK', 'P78344'})"
"frozenset({'P40227', 'TWEAK', 'Q00005'})"
"frozenset({'Q14108', 'TWEAK', 'Q15262'})"
"frozenset({'Q15735', 'Q08379', 'TWEAK'})"
"frozenset({'P33552', 'Q13432', 'TWEAK'})"
"frozenset({'O75385', 'Q9BSB4', 'TWEAK'})"
"frozenset({'Q13467', 'P56704', 'TWEAK'})"
"frozenset({'Q9HCC0', 'O60260', 'TWEAK'})"
"frozenset({'O95373', 'Q92838', 'TWEAK'})"
"frozenset({'P09001', 'TWEAK', 'Q86TS9'})"
"frozenset({'P45983', 'O60271', 'TWEAK'})"
"frozenset({'P07550', 'P0DMV8', 'TWEAK'})"
"frozenset({'P09651', 'TWEAK', 'P22301'})"
"frozenset({'P81605', 'TWEAK', 'Q13007'})"
"frozenset({'P43490', 'P04839', 'TWEAK'})"
"frozenset({'Q7Z6Z7', 'Q9H0W5', 'TWEAK'})"
