negatives
"frozenset({'Q9HCE1', 'Prolactin', 'P49588'})"
"frozenset({'Prolactin', 'Q8TBB1', 'Q8NHY3'})"
"frozenset({'Prolactin', 'Q9UBB9', 'Q9UK58'})"
"frozenset({'P52701', 'Q96DB2', 'Prolactin'})"
"frozenset({'Prolactin', 'Q15717', 'P62166'})"
"frozenset({'Prolactin', 'Q15717', 'Q8N8J7'})"
"frozenset({'Prolactin', 'Q8IV20', 'P0DPA2'})"
"frozenset({'P63316', 'Prolactin', 'P62487'})"
"frozenset({'Prolactin', 'P14635', 'Q9UII4'})"
"frozenset({'Prolactin', 'Q07955', 'O43918'})"
"frozenset({'Prolactin', 'Q8IXI2', 'Q9UKV5'})"
"frozenset({'Prolactin', 'P18146', 'Q6UX53'})"
"frozenset({'Prolactin', 'Q9BYV2', 'P55040'})"
"frozenset({'Q01081', 'Prolactin', 'Q13242'})"
"frozenset({'Prolactin', 'P26651', 'A5YKK6'})"
"frozenset({'O15234', 'Q01844', 'Prolactin'})"
"frozenset({'Q96BA8', 'Prolactin', 'O14925'})"
"frozenset({'Prolactin', 'O15226', 'Q00653'})"
"frozenset({'Prolactin', 'O43741', 'P63218'})"
"frozenset({'Prolactin', 'Q92905', 'Q15797'})"
"frozenset({'Prolactin', 'P49674', 'P36873'})"
"frozenset({'Prolactin', 'Q15848', 'P01127'})"
"frozenset({'O60341', 'Prolactin', 'Q8NHQ1'})"
"frozenset({'Q8WXR4', 'Prolactin', 'P07900'})"
"frozenset({'P51617', 'Prolactin', 'Q96RR4'})"
"frozenset({'Q8IWP9', 'Prolactin', 'O14980'})"
"frozenset({'Q9NX40', 'Q07021', 'Prolactin'})"
"frozenset({'P13196', 'Q5H9K5', 'Prolactin'})"
"frozenset({'Prolactin', 'P13489', 'P01106'})"
"frozenset({'P12074', 'Prolactin', 'O75489'})"
"frozenset({'Prolactin', 'O43707', 'P18564'})"
"frozenset({'Prolactin', 'Q09472', 'O00330'})"
"frozenset({'Prolactin', 'P10244', 'P14635'})"
"frozenset({'Prolactin', 'Q7Z460', 'Q9H4P4'})"
"frozenset({'P24593', 'Prolactin', 'Q96GZ6'})"
"frozenset({'Prolactin', 'Q5TD97', 'O95363'})"
"frozenset({'Q99733', 'Prolactin', 'Q9UBU9'})"
"frozenset({'P49959', 'Prolactin', 'Q7Z6Z7'})"
"frozenset({'P33527', 'Prolactin', 'P27824'})"
"frozenset({'Q05209', 'Prolactin', 'Q9Y6I3'})"
"frozenset({'Q9NX40', 'O75880', 'Prolactin'})"
"frozenset({'P62906', 'Prolactin', 'Q76FK4'})"
"frozenset({'Prolactin', 'Q8WXH0', 'Q8TBP0'})"
"frozenset({'P42771', 'Prolactin', 'P22626'})"
"frozenset({'Q9HAU4', 'Prolactin', 'Q92665'})"
"frozenset({'Prolactin', 'Q96T21', 'P05067'})"
"frozenset({'Prolactin', 'P62258', 'P49721'})"
